0,C1,C2,C3,C4,W1,W2,W3,W4,L1,L2,L3,L4,R,pi1,pi2,pi3,pi4,Y1,Y2,Y3,Y4,S1,S2,S3,S4,LevF1,LevF2,LevF3,LevF4,I1,I2,I3,I4,LevE1,LevE2,LevE3,RE1,RE2,RE3,RE4
4-Jun,2.636386887,3.047273074,2.142993868,1.377457741,2.657685367,2.486821945,0.970368293,0.544236562,-0.787211729,0.192261419,1.290615767,1.98026026,-0.416586467,0.152536252,0.128420731,0.037562648,0.103369081,3.929914954,0.57025994,2.048189766,2.400225022,-0.093966346,-0.094399038,-0.1065625,-0.097620192,0.993712942,-0.392297239,3.388223988,-16.8888342,7.875104123,11.95222458,-3.80459545,-12.4622216,-1.356934285,0.690825204,-0.889476932,0.009980964,-0.005354252,0.022682975,0.036978211
4-Sep,3.024882691,3.309510244,2.554918649,1.663452062,3.091501353,2.747891486,0.504299143,0.272175053,-0.281731488,-0.133889484,0.609034052,2.196045396,-0.286053494,0.018134572,-0.114720141,-0.070793039,-0.053592948,4.333204204,0.316661533,1.847276095,2.581284361,-0.126466346,-0.114399038,-0.1190625,-0.122620192,-1.551711612,-0.705388328,-1.031689873,-15.9834262,9.995386294,12.62607797,-1.636238643,-8.71900441,-1.98453859,0.246530246,-1.506771297,-0.104166579,-0.108331737,-0.089480241,-0.082594596
4-Dec,3.238312465,3.1060764,2.801962514,1.889984891,2.758342888,2.234849599,-0.40823431,-0.100216892,-0.261294493,0.006391469,0.679388282,0.881449099,-0.166188313,0.040187218,-0.047643474,0.023716845,-0.164885825,4.412438193,0.930612312,2.610675406,3.187583477,-0.141466346,-0.124399038,-0.0965625,-0.135120192,-1.371335841,-0.780581297,-1.813777251,9.010108544,11.05021246,13.59186326,-0.417526591,-8.108639593,-2.855223691,-0.179484106,-2.25467668,-0.123027727,-0.118579161,-0.098520432,-0.101648536
5-Mar,3.266115079,2.813392952,3.367607557,1.867126652,2.147402923,1.733374189,-0.869088332,-0.582353034,-0.609723325,-0.065254125,-0.683944932,-0.242205869,-0.068093992,0.204191202,0.269955336,0.216720921,0.213327959,4.57267392,2.063186693,3.354782733,4.096406768,-0.156466346,-0.116899038,-0.1290625,-0.130120192,-3.143582176,-1.358735011,-2.950070692,3.594181582,11.93418048,14.82543531,0.080863551,-12.42534743,-2.108496979,-1.21112773,-2.222441951,-0.136725873,-0.136150038,-0.109535147,-0.115252746
5-Jun,3.160421169,2.613663847,3.059804235,1.598538,1.772840158,1.530797003,-1.554832818,-0.891764842,-0.17715185,0.208282883,1.774494363,3.949922174,0.014730267,-0.039787789,-0.149261926,-0.289767075,-0.170845088,3.901942492,2.327386768,3.24504513,3.928282513,-0.171466346,-0.129399038,-0.1390625,-0.137620192,-5.402131532,-2.309553268,-3.04502139,6.382094466,13.19345608,11.80993075,0.70554031,4.993068313,-5.713965684,-2.154917439,-4.916692447,-0.180307517,-0.158523766,-0.200060356,-0.200912834
5-Sep,2.897345026,1.634201829,2.758031347,1.377400617,1.745435334,0.738456426,-2.020999287,-1.360859431,0.576899919,0.391276724,1.273928774,4.071671759,0.141327821,0.306444131,-0.029997238,-0.194011977,0.197886118,3.766069291,2.270508226,2.189651559,3.23021531,-0.176466346,-0.104399038,-0.1090625,-0.105120192,-1.723091455,-1.81572829,-1.339136064,2.551688439,13.96941441,11.78075045,0.901156519,-8.550183193,-6.53011302,-3.872574275,-6.144719128,-0.133733705,-0.10559465,-0.150063573,-0.143562373
5-Dec,2.610450928,1.125582091,3.311541728,1.44987448,1.095028629,0.30767933,-2.359544908,-1.340757761,0.523348169,0.146316598,1.433186031,3.202641766,0.260732821,0.127856325,0.010563936,0.197914643,0.074755469,3.917662518,2.834585388,2.288567358,3.792668999,-0.168966346,-0.119399038,-0.0915625,-0.120120192,1.080924161,-1.942398772,0.093480486,2.340065117,14.48481806,14.61202071,1.334201058,11.3826014,-7.270291007,-3.856222872,-6.65651931,-0.059352791,-0.03715792,-0.059387272,-0.040509368
6-Mar,2.693346242,1.261004112,3.094865481,1.226677884,1.216939184,-0.392988739,-3.168832924,-1.118553822,1.438575777,0.371225568,0.36177691,2.617186589,0.35689109,0.044599222,0.022444063,0.191679546,-0.066104412,4.071635196,2.148538889,2.48581346,3.926207421,-0.166466346,-0.154399038,-0.1665625,-0.177620192,-1.737701694,-2.08040403,-1.737483362,-2.734130853,16.27851299,14.89455446,4.674094083,8.953808648,-8.413096875,-4.006861593,-7.498534642,-0.036929547,-0.027942805,-0.020280138,-0.016472095
6-Jun,2.378206771,0.563047065,2.779399854,1.178317348,0.419366299,-1.105124101,-2.444020572,-1.103063944,1.752576143,0.43367659,2.347665919,6.368843333,0.451085488,0.18658578,0.163024994,0.235788965,0.065324179,3.593391158,2.700790701,2.573358886,3.538217986,-0.161466346,-0.149399038,-0.1590625,-0.165120192,-1.266336614,-1.500140323,-0.256043619,0.83378851,15.07694552,13.73941541,5.639129045,1.843932834,-8.389781293,-2.343048291,-6.896045219,0.053808353,0.064844684,0.08504626,0.083856486
6-Sep,2.295322576,0.183042644,2.872270714,1.059107701,-0.354830495,-1.874367001,-2.168382977,-1.099413742,1.373773666,0.341336759,1.704904838,6.111112033,0.516875824,0.079251034,-0.000413568,0.08788223,0.038795539,3.123850898,2.83380861,2.553520557,3.354819959,-0.158966346,-0.139399038,-0.1465625,-0.150120192,-0.948716265,-2.135321446,-0.49736516,-1.410578108,13.07909133,11.48638779,6.11606964,16.85983768,-9.046960604,-1.172981582,-6.938894033,-0.036843687,-0.028483994,-0.01560697,-0.019206287
