       1.0000000 -th   shock  
mean    low band   high band

     -0.76587088       -2.1059822       0.55553768 
     -0.53465041       -1.8467625       0.82365831 
      0.17752713       -1.0799175        1.6056245 
     -0.39582598       -1.7411285       0.92492638 
      0.57426865      -0.91423120        1.7829560 
     0.072172070       -1.2776007        1.3764844 
      0.13021951       -1.1749364        1.4142269 
      0.39597708      -0.84420451        1.8159763 
     -0.37249034       -1.6768690       0.99642349 
      0.13071439       -1.2188520        1.5717608 
      0.20709799       -1.2000715        1.4689559 
      0.83055350      -0.52695720        2.2199942 
       1.1817656      -0.23892664        2.5283937 
       1.3049590      0.015170689        2.7132682 
      0.31667516      -0.98605771        1.7426247 
       1.1404905      -0.23869929        2.5524330 
     0.068258448       -1.3361022        1.4370235 
     -0.89547162       -2.3071899       0.38841207 
      -1.5488555       -2.9128860      -0.19309237 
     -0.77723758       -2.1287640       0.64581385 
      -1.7918387       -3.1446822      -0.41311273 
      0.16858910       -1.1144209        1.5751625 
    0.0058230118       -1.3543759        1.3404959 
     0.025005853       -1.3026388        1.3409465 
     -0.67475929       -2.0039914       0.61774777 
      0.12561703       -1.2312750        1.4244762 
     -0.92856811       -2.2817923       0.42952193 
     -0.83662526       -2.1678228       0.57968753 
       1.4115847      0.035482519        2.7686591 
     -0.52032133       -1.8438139       0.87134086 
    0.0025020838       -1.3161659        1.3514778 
     0.023311481       -1.3759771        1.4281722 
      0.46419601      -0.84834665        1.8240514 
      0.28514558      -0.97046851        1.6593958 
    -0.036173857       -1.3903044        1.3145846 
      0.14607125       -1.2746959        1.4652536 
      0.74296686      -0.53524594        2.1378572 
      0.29070470       -1.1172430        1.5618445 
      0.62242841      -0.70431917        1.9914225 
      0.36131245      -0.96367238        1.7062697 
      0.17696030       -1.1901116        1.4982671 
      0.68381011      -0.67617219        1.9560010 
      0.37297392      -0.94059462        1.7633152 
      0.32638511       -1.0030733        1.6809726 
     -0.63045219       -1.9593869       0.78048009 
     -0.80657760       -2.0972905       0.58883829 
     -0.82981697       -2.2887593       0.49763080 
     -0.67607883       -2.0381512       0.76585949 
      -1.4183454       -2.9283155      0.091302758 
      -1.4061361       -3.0814990       0.17960685 
      0.47964577       -1.0114457        1.9154191 
     -0.74289643       -2.2838185       0.79426562 
       1.0598826      -0.33133089        2.3756404 
       1.0979842      -0.23569853        2.4723831 
      0.46966207      -0.97126385        1.7840414 
       1.3305870     -0.078052517        2.6188226 
      0.15759417       -1.2991517        1.4478407 
       1.1803117      -0.20711111        2.6711350 
    -0.014733208       -2.1103789        1.7997157 
       3.0000000 -th   shock  
mean    low band   high band

