       1.0000000 -th   shock  
mean    low band   high band

     -0.44478007       -1.2532085       0.54042741 
     -0.47440548       -1.3896326       0.63423730 
      0.28476266      -0.47347395        1.3695080 
     -0.35501281       -1.6723870       0.31253465 
    -0.028931445       -1.0223999        1.0689074 
    -0.037165804       -1.1161604        1.6832846 
    -0.079791093       -1.3854261       0.73166166 
     0.057371989      -0.81331500        1.4283084 
     -0.62061491       -1.6130070       0.21111990 
     -0.17765802       -1.0359684       0.87831130 
     0.089886447       -1.1955036        1.0429437 
      0.16104077      -0.90057836        1.1053990 
      0.66212676      -0.49380008        1.6138207 
      0.61310557      -0.90578321        1.4385636 
      0.45968629      -0.61158284        1.2967140 
      0.72978167      -0.41838569        1.7368739 
      0.21182026      -0.60716087        1.4690029 
     -0.42123856       -1.4994589       0.83438104 
     -0.90417265       -1.9389725       0.24526852 
     -0.59894082       -1.6646296       0.34732746 
      -1.2663225       -2.6014259     -0.081898257 
     -0.21937551       -1.1739660        1.0758249 
      0.21789408      -0.57463826        1.5800377 
    -0.031083614       -1.0050333        1.2042036 
     -0.36081726       -1.5751212       0.49154822 
     -0.17785657      -0.97161192        1.2747906 
     -0.35025474       -1.7416810       0.77589822 
     -0.56143571       -1.6804210       0.66438480 
      0.51462286      -0.61983118        1.7126251 
     -0.45338500       -1.3825109       0.66470575 
     -0.23383406       -1.7689890       0.85260327 
    -0.027319749       -1.1206697        1.0299928 
      0.34942342      -0.87826908        1.1624515 
      0.23719454      -0.51806273        1.5308241 
      0.14511626       -1.2213083        1.2834748 
     -0.14142286       -1.4217951       0.82040330 
      0.27615784      -0.53843863        1.4945014 
      0.20731198      -0.65195088        1.2529546 
      0.43667869      -0.37023283        2.0168251 
      0.37180548      -0.60889262        1.3682463 
     0.097773085      -0.93247003        1.0662255 
      0.18749352      -0.78129018        1.2255195 
      0.15759300      -0.64312778        1.5598208 
      0.10270832      -0.64720409        1.0422371 
     -0.49022472       -1.4141797       0.74686130 
     -0.39484849       -1.6252352       0.33535961 
     -0.85995437       -1.7870824       0.74331566 
     -0.22416342       -1.1549732       0.99272618 
     -0.72946460       -1.7748136       0.13172563 
     -0.72718970       -1.7836122     -0.051512916 
      0.55073331      -0.54196324        1.5432650 
      0.22440338      -0.79308205        1.3819681 
      0.57840147      -0.36008527        1.6905550 
      0.97626554       0.11360470        1.7232331 
      0.49762696      -0.29595518        1.3180977 
      0.82558993      -0.13920243        1.7519953 
      0.27075997      -0.77112240        1.1573728 
      0.25467819      -0.67173197        1.2091797 
      0.12490728       -1.0770649        1.2231823 
       3.0000000 -th   shock  
mean    low band   high band

     0.017923513      -0.23564188       0.22945845 
     0.026350042      -0.18335613       0.25001216 
    -0.021540719      -0.27034803       0.18364024 
     -0.10271361      -0.33712680       0.10874733 
    -0.076504937      -0.36423324       0.14384358 
    -0.046961054      -0.29398010       0.17105492 
      0.10133757      -0.18403419       0.30451088 
      0.10243941     -0.098956320       0.37135573 
     0.037861158      -0.22729781       0.22869625 
     -0.17096389      -0.33668829       0.13635708 
     0.011041894      -0.34765299       0.15546726 
   -0.0031671343      -0.23704735       0.34370274 
    -0.098425226      -0.40017054       0.12658723 
    -0.019787901      -0.20376151       0.23337525 
    -0.069478060      -0.27219591       0.18002476 
   -0.0040445985      -0.15621842       0.20900435 
     -0.13665816      -0.36263778       0.11322785 
    -0.039007006      -0.36025706       0.14639330 
     -0.18896745      -0.47620124      0.019108561 
   -0.0031536919      -0.21476233       0.20073851 
    -0.033533366      -0.39714090       0.15015886 
    -0.048754915      -0.31917427       0.15917839 
     -0.18536316      -0.35381063       0.10754821 
     -0.11422389      -0.39308617      0.096479451 
   -0.0033604262      -0.25192222       0.22192863 
     -0.16120254      -0.40794988      0.048637693 
      0.12038380     -0.089509321       0.33237878 
     -0.13048867      -0.33959817       0.18504488 
     0.022270350      -0.15819324       0.37440393 
    -0.055896655      -0.28452623       0.24205158 
    -0.048502443      -0.27497751       0.18317094 
    -0.094466848      -0.37420965       0.13959981 
     0.074186769      -0.19508893       0.31538394 
    -0.022230874      -0.27434427       0.25622154 
     0.063302601      -0.24666960       0.38120287 
     0.073618908      -0.12697259       0.40961303 
    -0.052090439      -0.32771732       0.13976815 
    -0.026021983      -0.22508291       0.14522474 
    -0.092604537      -0.34776723       0.10624982 
   -0.0082209447      -0.31188918       0.16803044 
    -0.048147870      -0.31289203       0.15823020 
      0.13386969      -0.13040644       0.32614440 
     0.022490971      -0.24714039       0.21384314 
     0.073582901      -0.15839412       0.25864633 
   -0.0014865332      -0.22088932       0.18804796 
     0.044964969      -0.21593136       0.25646740 
      0.10331594     -0.092238681       0.32636784 
     0.014333467      -0.22865463       0.27448233 
    -0.011065742      -0.17539818       0.22449428 
     0.030828596      -0.23874566       0.33070459 
     0.059280428      -0.14900525       0.30631371 
     0.026195416      -0.17686623       0.30549358 
     0.016763099      -0.24439088       0.21112830 
     0.083778479     -0.086745073       0.30522946 
      0.16480551     -0.024693008       0.46949285 
   -0.0012526913      -0.32523772       0.15741133 
    -0.018461708      -0.31428081       0.21992482 
     0.037935854      -0.26479734       0.24598297 
     0.056728924      -0.17237027       0.26473353 
    -0.076810722      -0.34115248       0.19577122 
     0.042350161      -0.23239120       0.29796510 
    -0.047326926      -0.25888017       0.22264489 
     0.046024206      -0.14474688       0.24276061 
     0.088791916      -0.10065479       0.32191742 
     -0.14056574      -0.33560357      0.093885285 
     0.042241554      -0.13806529       0.24707837 
    -0.043556126      -0.29640853       0.14564798 
    -0.039171294      -0.29555909       0.19722953 
     0.069212368      -0.14653717       0.37366653 
    -0.027745576      -0.32352426       0.17606547 
     0.021963844      -0.27580364       0.19136279 
      0.14969315      -0.12557459       0.31728023 
     0.076345044     -0.083748280       0.28201562 
    -0.053847156      -0.25924727       0.24601326 
      0.25583848     -0.028711905       0.50970409 
    -0.012151263      -0.29887237       0.18516785 
     0.044637600      -0.16128453       0.33566064 
     0.045702901      -0.18814511       0.24761140 
      0.10397764     -0.092967749       0.30465496 
     0.052789020      -0.19130270       0.29518363 
     0.078567276      -0.12630310       0.34356601 
     0.098219517     -0.088189973       0.31575792 
     0.022962606      -0.27336165       0.20744491 
    -0.032115570      -0.21007317       0.23850780 
    -0.051035288      -0.26129954       0.24715288 
     0.012046563      -0.19575549       0.23122103 
     0.060910357      -0.16210741       0.33938595 
    -0.044436418      -0.20149281       0.20988260 
    -0.063957229      -0.29582136       0.15608190 
    -0.042377425      -0.26033298       0.16258831 
     -0.11761592      -0.29315498       0.14773938 
    -0.042529822      -0.26283848       0.16299672 
    -0.098827023      -0.38026844      0.080220586 
     -0.30058545      -0.54868380     -0.066151562 
     -0.18968736      -0.36877090      0.048829532 
     -0.23299413      -0.46749353     -0.070689673 
    -0.097119842      -0.26108124      0.087057809 
    -0.046477255      -0.19900581       0.13796190 
    0.0015875514      -0.17464433       0.23223133 
     -0.24881181      -0.43803485     -0.087227562 
     0.054776531      -0.28580343       0.36248887 
     0.010745158      -0.22522437       0.31356407 
       4.0000000 -th   shock  
mean    low band   high band

    -0.072826929       -1.1586391       0.64421728 
      0.55081869     -0.044991932        1.5794336 
      0.12963612       -1.0362219       0.76452851 
     -0.32772623       -1.0004324       0.51113621 
     -0.24477000      -0.96748573       0.67567299 
      0.47457593      -0.54180797        1.3362218 
     -0.61687127       -1.5839148      0.046950642 
     -0.54312312       -1.3300295       0.38461844 
     -0.49095402       -1.4508440       0.23524492 
    -0.026131101       -1.0443500       0.97983918 
    -0.088428649       -1.0507442       0.58304038 
      0.46233667      -0.11958361        1.4029910 
     -0.12194026       -1.2630756       0.55594392 
      0.29203033      -0.31192679        1.2229014 
      0.25554399      -0.41512220        1.0076599 
    -0.088391984      -0.94166779       0.61418613 
     -0.53879674       -1.4106655       0.25423550 
      0.12171987      -0.71303516        1.1474144 
     -0.34484243       -1.0975861       0.84309961 
     -0.23645426       -1.0324578       0.66761612 
    -0.025273227      -0.66062414        1.2579132 
      0.17236886      -0.67518729        1.0008139 
     -0.13276306       -1.1733472        1.0529743 
     -0.10673146       -1.0504495       0.61218486 
      0.13133499      -0.76665050       0.92238742 
     -0.38666347       -1.3199498       0.13457625 
      0.68801920      -0.31102016        1.6072708 
     0.054720530      -0.92163192        1.1877157 
      0.28146714      -0.61017992        1.0180357 
      0.24930751      -0.74016535        1.0088683 
      0.27382357      -0.35795831        1.1427898 
      0.41759715      -0.37332358        1.4040683 
      0.25221220      -0.69841963        1.1067124 
     -0.36340943       -1.0443396       0.67477792 
     -0.13813084      -0.88799100        1.0869958 
     -0.16257299      -0.91562974       0.52653420 
      0.11325533      -0.80077026        1.0121074 
     -0.11811134      -0.70077825        1.1701463 
      0.25801793      -0.56336791        1.4054072 
      0.11780156      -0.79842698       0.82074001 
      0.37897759      -0.46427969        1.1386598 
    -0.079023907      -0.77926104       0.75746284 
    -0.035214890      -0.88151496        1.0757733 
      0.28346647      -0.61924677        1.0368008 
      0.34105801      -0.21204596        1.0287756 
     -0.10944481      -0.72853969       0.95342321 
      0.24601369      -0.66694363        1.0887689 
      0.18614763      -0.80442268       0.86692037 
      0.21136817      -0.62744705        1.1611590 
    -0.068822383      -0.70866454       0.91656359 
      0.20248762      -0.77670436        1.1091560 
   -0.0027231706      -0.98380852       0.87991738 
     -0.11106949      -0.72359511       0.97759667 
     0.048029580      -0.81753801       0.88371957 
     -0.20060482       -1.0201065       0.62314617 
     -0.46575484       -1.0709305       0.35758730 
     -0.10553047      -0.83400417       0.68330309 
    -0.031874896      -0.67935618        1.0006765 
     -0.39279276       -1.1843475       0.73741222 
     -0.46594550       -1.1705647       0.87298981 
      0.40051712      -0.46296034        1.1096613 
     0.076422532      -0.60271523       0.91800102 
      0.15410276       -1.0965137       0.78885832 
     0.064419271      -0.83560042       0.95021290 
     -0.36657567       -1.0251579       0.72623506 
      0.30173412      -0.90462733        1.1607667 
    -0.025253568      -0.93323416       0.74909389 
    -0.084008720       -1.0969948       0.97157581 
     -0.16721972      -0.89859073       0.92455729 
      0.42229785      -0.32827921        1.2800628 
      0.41479939      -0.17078266        1.3224373 
     -0.21579012      -0.90373880       0.78145173 
     0.041450805       -1.0580859       0.68723963 
    -0.092264816       -1.1624748       0.92110209 
     0.076518885      -0.82750711        1.0762154 
      0.32629829      -0.83455851       0.89949336 
      0.17909905       -1.0835338       0.89470928 
    -0.025627577      -0.65643974        1.0902251 
      0.82478399      0.043247311        1.7747918 
    -0.077871699      -0.81280320       0.80650521 
     -0.29274359       -1.1579052       0.36735178 
      0.16856961      -0.66823692        1.0632648 
     -0.16298153      -0.77860142       0.88781790 
     0.050541105      -0.92279871       0.69269485 
      0.40339808      -0.56711624       0.99645919 
    -0.084319460      -0.78418580        1.0001579 
    -0.086186896      -0.95542230       0.76905698 
     -0.50597355       -1.3664374       0.21027465 
     -0.43981330       -1.2071989       0.34979797 
     -0.34859874       -1.2772489       0.49154100 
     -0.58276375       -1.4253898       0.31780402 
     -0.65922371       -1.6344237       0.16018162 
      -1.7019617       -2.5390387      -0.93953836 
     0.026436758      -0.86790571       0.57535204 
       1.0754626       0.35610719        1.7763013 
       1.1417288       0.22351231        2.4581274 
      0.43636492      -0.48134642        1.4320579 
       1.0566025       0.10353768        1.8386143 
      0.59040989      -0.55350865        1.4060372 
     -0.41578889       -1.2868795       0.39174029 
     0.053137319       -1.0718104       0.80827793 
      0.15224817      -0.73920357        1.1468447 
       5.0000000 -th   shock  
mean    low band   high band

     0.010675571      -0.84868281       0.74513683 
     -0.30530865       -1.0604734       0.25526079 
     -0.17831765      -0.92408905       0.70268238 
     -0.17951014      -0.78983019       0.49257177 
     -0.12003292      -0.69788408       0.78403977 
      0.10252614      -0.70234299       0.88146342 
    -0.018634961      -0.80473701       0.84216551 
    -0.021699499      -0.61114546       0.72893044 
      0.42038814      -0.36668887        1.2708076 
     -0.11526925      -0.95112040       0.74976224 
      0.22558893      -0.25266040       0.91666640 
     -0.12643531      -0.79996520       0.49645362 
     0.088620912      -0.63029203       0.74132766 
      0.24970259      -0.45252054        1.0441700 
    -0.087185093      -0.86436159       0.63636056 
     -0.10548478      -0.71821950       0.78213222 
    -0.094560985      -0.72311010       0.79165507 
     0.031899305      -0.81464878        1.0250920 
      0.36555979      -0.52000187       0.96357301 
      0.13587997      -0.79209140       0.72832789 
     -0.14095555       -1.0720534       0.47005871 
     -0.20686990       -1.0149029       0.62501159 
      0.31478208      -0.24021712        1.2207364 
      0.11632061      -0.60105882        1.0242686 
      0.13427452      -0.46185966        1.0736802 
   0.00089831549      -0.85114149       0.67818379 
    -0.019168007      -0.75643093       0.69331128 
    -0.021747764      -0.78513269       0.66690885 
    0.0086331032      -0.92430546       0.61428229 
     -0.14818816       -1.1114226       0.41320377 
    -0.020198388      -0.54470278       0.73184055 
     0.050530129      -0.95083342       0.66881446 
    -0.099352894      -0.86084506       0.66490943 
     0.032276504      -0.89788327       0.65408992 
      0.39961532      -0.27918896       0.91011906 
     0.046624324       -1.0779670       0.51672550 
      0.38150757      -0.13606625        1.2815590 
    -0.018169678      -0.67572547       0.61440950 
     -0.18496781      -0.87097921       0.67984402 
     -0.34777211       -1.1376388       0.49755212 
     -0.26634437       -1.1297937       0.23422440 
     -0.30317126       -1.4195569       0.44932932 
      0.29267423      -0.59497224       0.78735750 
    -0.047969669      -0.77617535       0.55191192 
    -0.099216317      -0.94389697       0.65434766 
    -0.086897697       -1.0064247       0.47757482 
      0.14594990      -0.53982049        1.0096931 
  -0.00030799403      -0.93223496       0.68526146 
     0.091376238      -0.69087898       0.55639838 
      0.11708030      -0.63843771       0.82507467 
     -0.15353705      -0.80068794       0.71563393 
     0.075028460      -0.61875160       0.80739323 
     0.050680710      -0.61965849       0.70951221 
     -0.16143258      -0.78565635       0.56555539 
     -0.35876916       -1.1480860       0.46698916 
      0.20865308      -0.91015339       0.89251465 
      0.32930924      -0.24184761        1.2110089 
     -0.28835959       -1.1813478       0.24943739 
      0.30926725      -0.61282046       0.92167406 
    -0.050286299      -0.58827220       0.75511844 
    -0.028901558      -0.88038865       0.54868349 
     -0.33341694       -1.2437885       0.27777720 
      0.10957331      -0.63001428       0.92767186 
     -0.34821237       -1.4040290       0.21572602 
     -0.16767739       -1.0260573       0.51727821 
      0.19468317      -0.41587491       0.79042444 
      0.16996116      -0.75484261       0.79598089 
     0.058873690      -0.82889744       0.62642449 
      0.17176886      -0.49207423       0.85852235 
    -0.012515989       -1.0053446       0.67077845 
     -0.24394152      -0.97912025       0.38418792 
      0.12939633      -0.54033745       0.76837947 
     0.038551823      -0.70237100       0.73421786 
     0.066463727      -0.57444036       0.97457603 
     -0.14956306      -0.79461168       0.81134011 
     -0.13136414      -0.96697582       0.65897988 
    -0.090053629       -1.0447334       0.70132732 
     -0.13597823       -1.1347985       0.59683938 
     -0.28569541      -0.94273454       0.34017130 
    -0.087110959       -1.0897848       0.54441521 
     0.027523846      -0.88672932       0.67237329 
    -0.063038987      -0.81483152       0.38947717 
     0.030644251      -0.73454946       0.95009705 
      0.10340856      -0.84489054       0.82605913 
      0.10370437      -0.53172350       0.71819509 
    -0.051758955      -0.69749152       0.61435632 
      0.34928725      -0.24208332       0.97290554 
     0.085667152      -0.76216464       0.81219480 
    -0.052184229      -0.98845191       0.85285424 
    0.0035108236      -0.70037584       0.77775388 
     -0.15604347      -0.85106147       0.77114595 
     -0.11219409      -0.70179545       0.80138233 
     -0.61157664       -1.2350214       0.19136391 
     -0.10770313      -0.79025920       0.80073195 
    -0.058310517      -0.81725181       0.66657053 
      0.25320109      -0.86067641        1.0124319 
      0.27088051      -0.52714098        1.1384999 
      0.25002012      -0.40544613        1.0453192 
      0.33621960      -0.19536967        1.1883394 
      0.43015945      -0.33660746        1.1740166 
     -0.10624403      -0.78687330       0.71323912 
    -0.014641899      -0.96697250       0.84639483 
       6.0000000 -th   shock  
mean    low band   high band

      0.31955848      -0.23115920       0.78640278 
     -0.47721608       -1.1132445     -0.077212350 
     -0.41815998       -1.0212118       0.11581748 
     -0.20624222      -0.62774612       0.65049769 
      0.25041839      -0.26857205       0.77685138 
     -0.60509986       -1.0963434     -0.063966872 
      0.24176705      -0.26119916       0.89810161 
    -0.017762068      -0.49876407       0.56567243 
    -0.091211585      -0.61472157       0.53256143 
     -0.20599250      -0.66972167       0.53887133 
      0.37638983     -0.074941907       0.88791361 
     -0.25027109      -0.71115597       0.38464602 
      0.35477000      -0.20337836        1.0050070 
      0.17698523      -0.37360251       0.92396330 
     -0.11382907      -0.43173323       0.62293999 
      0.50341582      0.066282051        1.0194186 
     -0.14971082      -0.71092124       0.41995891 
      0.57352715       0.12802537       0.95866627 
    -0.055959191      -0.60660782       0.50838054 
      0.21115025      -0.37896903       0.65976510 
     -0.39036865      -0.87680985       0.20138677 
     -0.55464043      -0.94147592     -0.012488114 
      0.40949929      -0.25688742       0.98919958 
      0.17445295      -0.39202521       0.61977145 
     0.022455626      -0.37611458       0.71104857 
     0.034352720      -0.64371981       0.49270106 
      0.49653864     -0.085051241       0.98611945 
    -0.087202368      -0.60411807       0.49643203 
      0.21038236      -0.53289360       0.72428731 
     -0.26651605      -0.73050809       0.26472252 
    -0.064605416      -0.48977291       0.56488523 
     0.022499653      -0.51135439       0.53757403 
      0.33521157      -0.31835450       0.87591539 
     -0.15716670      -0.76031889       0.30096975 
      0.21776405      -0.30437259       0.80960101 
     -0.43315265      -0.94371485      0.034486247 
      0.28778279      -0.13912061       0.94278588 
      0.17870219      -0.34600043       0.61822384 
     -0.36103823      -0.85342743      0.094858931 
     -0.11154460      -0.66251062       0.33786797 
      0.13913589      -0.50491636       0.71664397 
     0.047517664      -0.50051559       0.78220658 
      0.33354132      -0.19543230       0.84630161 
   -0.0027040465      -0.44701690       0.56318283 
     -0.14246887      -0.50959047       0.40353108 
     -0.13222755      -0.71135517       0.28249657 
     0.053368934      -0.41488985       0.62165641 
      0.31540473      -0.22337446       0.96329720 
     -0.35257691      -0.98457537    -0.0085924717 
      0.11482579      -0.31087137       0.80822274 
      0.19964529      -0.38025508       0.97888748 
     -0.17290830      -0.73811972       0.39527263 
      0.25612750      -0.11117891       0.74059623 
     -0.18116339      -0.73758593       0.46381840 
    -0.057522937      -0.69871888       0.39464127 
      0.28049957      -0.27774827       0.81788717 
    -0.036263941      -0.64586655       0.54776692 
      0.24733086      -0.28677413       0.68694406 
      0.73817336       0.15779830        1.3599230 
      0.16331183      -0.34473300       0.75651460 
    -0.061530147      -0.72077636       0.40718298 
     -0.18110716      -0.74971321       0.41195265 
     -0.10609842      -0.68648348       0.35963155 
     -0.44923033      -0.93531461       0.17941112 
     -0.52047287       -1.0281744       0.19274430 
     0.046178318      -0.62588629       0.40165719 
    -0.044376956      -0.37939866       0.48338822 
     -0.12787842      -0.54856399       0.47398349 
    -0.042397676      -0.61662513       0.50459972 
     -0.21533003      -0.89805371       0.34891324 
      0.15148631      -0.32834857       0.68166610 
      0.38309998      -0.13403117        1.0407992 
    -0.069530776      -0.69689966       0.52776668 
     -0.40511303      -0.84806616       0.42794033 
      0.16081437      -0.25936521       0.77840905 
     0.034907923      -0.55678521       0.50313051 
     -0.17467541      -0.69810249       0.55246473 
    -0.092613182      -0.56648261       0.35359072 
     -0.20360202      -0.68955123       0.49573158 
    -0.062826935      -0.70920678       0.52614300 
    -0.017714028      -0.56544092       0.45636339 
      0.29415249      -0.24256396       0.86757259 
     -0.32644534      -0.89864330       0.12544067 
     -0.31555085      -0.91216078       0.17574620 
     -0.25269839      -0.89933643       0.29464004 
    -0.069797713      -0.66866997       0.40031671 
     0.072861027      -0.46687939       0.65574923 
     -0.15392424      -0.72369077       0.29016532 
    -0.079408552      -0.50913651       0.67125937 
      0.12997253      -0.74808719       0.81114688 
      0.27852294      -0.18799373       0.93551460 
     -0.10435322      -0.59288516       0.58948976 
     -0.70951588       -1.2773700     -0.084094245 
      -1.3832314       -1.9259336      -0.82239158 
      0.39118100      -0.22065202       0.89175536 
      0.71856627      0.080699177        1.1357394 
      0.53568215     -0.052339867        1.1317942 
      0.11894392      -0.46116793       0.83451684 
      0.80487921      0.057886889        1.3136795 
    -0.015847936      -0.51206881       0.55681161 
      0.17783017      -0.43526827       0.89152271 
    -0.089861618      -0.95586802       0.48708548 
       7.0000000 -th   shock  
mean    low band   high band

      0.29715877      -0.78039766        1.5281531 
      0.32400624      -0.46541597        1.7203604 
    -0.088665646       -1.4526926       0.89629550 
     -0.87053045       -1.9580952       0.58753743 
     -0.24739359       -1.6269023       0.79506340 
     -0.29920450       -1.3571747        1.2633627 
      -1.1146561       -2.7359008      0.018184367 
     -0.45121110       -1.6531784       0.74315731 
     -0.27146024       -1.2234121       0.77679690 
     -0.31972880       -1.3304943        1.2760831 
      0.37665297      -0.58102430        1.5815474 
      0.34406999      -0.65160873        1.7296067 
     -0.16008592       -1.4733678       0.75430456 
     -0.26126877       -1.7830152        1.0014825 
