       1.0000000 -th   shock  
mean    low band   high band

     -0.63792976       -1.2953966     0.0031305023 
      0.18085566      -0.50301380       0.79217365 
     -0.38516324       -1.1094789       0.24183310 
      0.17074272      -0.52560890       0.87208011 
     -0.15280935      -0.85090450       0.53006111 
     0.047769214      -0.57086352       0.73068286 
     0.062113200      -0.57964457       0.71671089 
     -0.28565943      -0.95568813       0.34903435 
     -0.68547848       -1.3750115     -0.015249739 
      0.22489858      -0.40475785       0.94129236 
      0.58808262     -0.055103535        1.2166244 
      0.63620155    -0.0069267488        1.2688860 
      0.20412849      -0.47999133       0.86124201 
      0.10053601      -0.59221348       0.71871267 
      0.80270994       0.11341904        1.4721876 
      0.97985450       0.35757014        1.6577330 
     0.084107648      -0.53274741       0.75802570 
     -0.71008932       -1.3994517     0.0074997646 
     -0.40499481       -1.1227759       0.27468502 
     -0.48191405       -1.1573694       0.26255542 
       1.1786468       0.51986586        1.8932781 
     -0.42355350       -1.0757389       0.26743686 
      0.15308600      -0.47975366       0.77415892 
     -0.55637787       -1.1890044       0.10654637 
     -0.36582190       -1.0304575       0.26983739 
     -0.98818821       -1.5687141      -0.29034895 
     -0.58024558       -1.2462578      0.022939813 
      0.85890869       0.17142283        1.4910624 
     -0.81495538       -1.4579705      -0.12739194 
     -0.24461958      -0.85766390       0.42343629 
     -0.13874951      -0.79240747       0.52646969 
      0.32263272      -0.34311756       0.95746437 
      0.25796120      -0.31749934       0.94770160 
      0.23092446      -0.35387899       0.94103097 
     -0.45775914       -1.0644313       0.25439195 
      0.37408711      -0.28546548        1.0067288 
      0.70595892      0.032071741        1.3225869 
      0.56271569     -0.080684746        1.2061391 
      0.72614881      0.076575643        1.3814267 
     0.019914884      -0.67487248       0.62489913 
      0.60637444     -0.023360611        1.2430874 
      0.24996542      -0.36175839       0.91194347 
      0.28864898      -0.34882143       0.94712426 
    -0.047816535      -0.66688747       0.65168292 
     -0.33043214       -1.0212755       0.27673168 
      -1.2060862       -1.9199125      -0.55287500 
      -1.2084650       -1.8576645      -0.53349791 
      -1.9219814       -2.6970901       -1.2712363 
     -0.68962711       -1.4194650      0.025284198 
       1.5415242       0.70158750        2.3335750 
     -0.53224028       -1.2822342       0.16971032 
      0.16607478      -0.55077938       0.98877213 
      0.63480046      -0.12295513        1.2674379 
     -0.59384136       -1.1877909       0.10716709 
     0.029503937      -0.64508548       0.62721652 
     -0.75416921       -1.4345692     -0.083159111 
       1.3606709       0.63307171        2.0903186 
    0.0061258399       -1.3849013        1.3383003 
       3.0000000 -th   shock  
mean    low band   high band

     -0.38978590      -0.58273612      -0.20169635 
    -0.029739820      -0.18038784       0.12881555 
     0.039387433      -0.11555928       0.18948850 
     -0.21804750      -0.36585283     -0.058648504 
    -0.095371068      -0.24437608      0.060936333 
    -0.016672509      -0.16792136       0.16071669 
     0.074480586     -0.089439417       0.23633349 
      0.17164923      0.011935530       0.32529077 
     0.072062885      -0.10333281       0.23497944 
     -0.23858420      -0.41227654     -0.094033139 
     0.011141102      -0.14048267       0.16026161 
      0.11768455     -0.025612351       0.26764267 
    0.0052388425      -0.15660329       0.14769274 
     0.050354895      -0.10046826       0.19369902 
     0.015367492      -0.11878403       0.17444104 
    -0.053999971      -0.21620883       0.10360884 
     -0.54618553      -0.70820486      -0.38326634 
     -0.10262880      -0.26452737      0.060753912 
    -0.027478091      -0.19418715       0.14238299 
      0.28684036       0.11379048       0.44910663 
    -0.087057096      -0.24774677      0.071819787 
     -0.22974132      -0.37857528     -0.057357978 
     -0.21391361      -0.36379537     -0.061103172 
     -0.19330538      -0.37877511     -0.027343705 
     0.027962418      -0.14499197       0.19047872 
     -0.19719840      -0.35433606     -0.039948046 
      0.24140388      0.084772289       0.40217071 
     -0.11543222      -0.26966758      0.038422235 
    0.0021357432      -0.14884974       0.15528912 
    -0.027632294      -0.17748620       0.13445796 
     0.038246586      -0.12194730       0.18584981 
     -0.12419567      -0.28606181      0.019889196 
     0.027706637      -0.13043885       0.17783660 
      0.13488790     -0.017662067       0.29858407 
      0.15112615      0.012109192       0.31301806 
      0.18940584      0.038316357       0.35091438 
     0.026335649      -0.12285799       0.18985374 
     -0.14499761      -0.30770885      0.012691789 
     -0.11265853      -0.26889351      0.030534839 
    -0.032588094      -0.17328119       0.12433829 
    -0.067401154      -0.20632444      0.081898469 
      0.12319549     -0.025476086       0.27413039 
      0.15442472   -0.00083051105       0.31020440 
      0.11564799     -0.054480744       0.27252890 
     0.052081482      -0.10747565       0.21557980 
      0.10398825     -0.073330861       0.27083474 
      0.19394508      0.014100388       0.36197748 
     0.047893291      -0.11266416       0.20360244 
    -0.033362115      -0.20988126       0.12509473 
     0.070572189     -0.080714217       0.23076709 
    0.0076178268      -0.14694907       0.15792727 
    -0.031781261      -0.17776866       0.12611559 
     0.029404880      -0.11894977       0.17256481 
      0.22467177      0.072815578       0.36963621 
      0.13344630    -0.0061949442       0.30113921 
    -0.068322017      -0.22332015      0.079590782 
     0.053778621     -0.085365999       0.21729021 
     0.018916435      -0.13445477       0.16412727 
      0.18639437      0.028637908       0.33947048 
    -0.082740454      -0.21975248      0.094321353 
   -0.0027612032      -0.15143155       0.16565617 
    -0.091286442      -0.25795159      0.072110476 
      0.16041493     -0.011347908       0.32553646 
      0.11845217     -0.091182879       0.28591453 
     -0.54277532      -0.72071713      -0.34756734 
      0.13404970     -0.026537765       0.29007768 
    -0.095754725      -0.24176708      0.062013609 
     -0.14611395      -0.30180882     0.0068493194 
     0.077560492     -0.073630716       0.23239244 
    -0.025064684      -0.18160922       0.12074524 
    -0.097159192      -0.24216728      0.063217319 
     0.087906635     -0.072989430       0.24627656 
     0.099710752     -0.062601625       0.27470124 
     -0.18370829      -0.33560597     -0.030045722 
      0.31035212       0.14716927       0.45475964 
     0.041026533      -0.11785579       0.21572173 
     0.049016139      -0.10300558       0.19959467 
    -0.060805876      -0.22328717      0.088690096 
      0.32509485       0.16298005       0.48650217 
    -0.031622337      -0.17978788       0.12202112 
     0.081414149     -0.069028473       0.23001454 
      0.16747020      0.018381859       0.32435179 
     0.083189335     -0.061841991       0.24403561 
     0.025879353      -0.13922121       0.17226803 
    0.0059585411      -0.14734465       0.15933431 
     -0.11632654      -0.28906154      0.035574494 
      0.26383946       0.11562671       0.43330407 
    -0.071432620      -0.23623584      0.075101832 
    -0.099693276      -0.24348846      0.059479904 
    -0.066358939      -0.21708092       0.10284897 
     -0.18403734      -0.33587752     -0.011815657 
     0.018165175      -0.13721574       0.18140446 
     -0.15646068      -0.35723220      0.039451624 
